player,difference_in_salary,estimated_salary,actual_salary
Marvin Williams,-5783813.23374658,7384936.76625342,13168750
Mason Plumlee,-8234927.68178572,5806168.31821428,14041096
Matthew Dellavedova,-6143359.31307491,3464140.68692509,9607500
Maurice Harkless,-5390171.96928223,4772750.03071777,10162922
Maxi Kleber,2725805.60322541,3541420.60322541,815615
Meyers Leonard,-6948449.96683575,2956045.03316425,9904495
Michael Beasley,7506900.00254764,8978282.00254764,1471382
Michael Carter-Williams,5027005.51349383,7727005.51349383,2700000
Michael Kidd-Gilchrist,-7003457.08060654,5996542.91939346,1.3E+07
Mike Conley,-17132196.2412294,11398411.7587706,28530608
Mike Muscala,-1698083.31051886,3301916.68948114,5E+06
Mike Scott,2992947.9988216,4464329.9988216,1471382
Miles Plumlee,-9775313.58905075,2724686.41094925,12500000
Milos Teodosic,-905874.505857671,5094125.49414233,6E+06
Mindaugas Kuzminskas,477484.542077624,3502519.54207762,3025035
Mirza Teletovic,-5147428.36284466,5352571.63715534,10500000
Montrezl Harrell,6618416.3533285,8089798.3533285,1471382
Myles Turner,6982730.84327603,9552650.84327603,2569920
Nemanja Bjelica,627738.03147755,4577737.03147755,3949999
Nene,4786450.9430508,8264050.9430508,3477600
Nerlens Noel,1262991.12199974,5450590.12199974,4187599
Nick Collison,1102876.03438966,3431528.03438966,2328652
Nick Young,2881298.44157686,8073298.44157686,5192000
Nicolas Batum,-14032347.0257555,8402435.97424452,22434783
Nicolas Brussino,176657.596477471,1081906.59647747,905249
Nigel Hayes,1150711.54136632,1200711.54136632,50000
Nigel Hayes,1154631.54136632,1200711.54136632,46080
Nigel Hayes,1145415.54136632,1200711.54136632,55296
Nigel Hayes,1108551.54136632,1200711.54136632,92160
Nik Stauskas,540046.517876746,4347193.51787675,3807147
Nikola Jokic,10754537.4463513,12225919.4463513,1471382
Nikola Mirotic,-3514704.74962802,8985295.25037198,12500000
Nikola Vucevic,-472206.191997303,11777793.8080027,12250000
Noah Vonleh,-737579.002551112,2767653.99744889,3505233
Norman Powell,2964116.30444693,4435498.30444693,1471382
OG Anunoby,2256943.83560135,3902143.83560135,1645200
Okaro White,-586873.326907734,725737.673092266,1312611
Okaro White,614499.673092266,725737.673092266,111238
Omari Johnson,2562164.72777217,2589812.72777217,27648
