"","player","season.x","DRAYMOND","X_id","salary","season.y","season_end","season_start","team","career_AST","career_FG%","career_PTS","position"
"314","Marcus Morris","2018",0.4923457,"morrima03",5e+06,"2017-18",2018,2017,"Boston Celtics",1.5,"43.1",11.5,"Small Forward and Power Forward"
"315","Marcus Smart","2018",0.4074494,"smartma01",4538020,"2017-18",2018,2017,"Boston Celtics",3.9,"37.2",9.3,"Shooting Guard and Point Guard"
"316","Mario Chalmers","2018",0.1598952,"chalmma01",2106407,"2017-18",2018,2017,"Memphis Grizzlies",3.7,"41.7",8.9,"Point Guard"
"317","Mario Hezonja","2018",0.3046756,"hezonma01",4078320,"2017-18",2018,2017,"Orlando Magic",1.3,"41.7",7.3,"Small Forward"
"318","Markelle Fultz","2018",1.773343,"fultzma01",7026240,"2017-18",2018,2017,"Philadelphia 76ers",3.4,"41.4",7.7,"Shooting Guard"
"319","Markieff Morris","2018",0.3877054,"morrima02",8e+06,"2017-18",2018,2017,"Washington Wizards",1.7,"44.9",11.6,"Power Forward"
"320","Marquese Chriss","2018",0.5148461,"chrisma01",3073800,"2017-18",2018,2017,"Phoenix Suns",0.8,"42.9",7.6,"Power Forward"
"321","Marquis Teague","2018",-4.34797,"teaguma01",157945,"2017-18",2018,2017,"Memphis Grizzlies",1.5,"34.3",2.4,"Point Guard and Shooting Guard"
"322","Marreese Speights","2018",0.6634808,"speigma01",1471382,"2017-18",2018,2017,"Orlando Magic",0.7,"45.9",7.9,"Power Forward and Center"
"323","MarShon Brooks","2018",-1.431783,"brookma01",332477,"2017-18",2018,2017,"Memphis Grizzlies",1.4,"44.7",8,"Shooting Guard"
"324","Marvin Williams","2018",-0.2923508,"willima02",13168750,"2017-18",2018,2017,"Charlotte Hornets",1.3,"44.3",10.5,"Power Forward and Small Forward"
"325","Mason Plumlee","2018",1.226631,"plumlma01",14041096,"2017-18",2018,2017,"Denver Nuggets",2.2,"57.0",8.5,"Center"
"326","Matthew Dellavedova","2018",-1.00318,"dellama01",9607500,"2017-18",2018,2017,"Milwaukee Bucks",3.7,"39.2",6,"Point Guard and Shooting Guard"
"327","Maurice Harkless","2018",1.172922,"harklma01",10162922,"2017-18",2018,2017,"Portland Trail Blazers",0.9,"47.6",7.3,"Small Forward"
"328","Maxi Kleber","2018",-1.097707,"klebima01",815615,"2017-18",2018,2017,"Dallas Mavericks",0.8,"46.9",6.1,"Power Forward"
"329","Meyers Leonard","2018",-2.85392,"leoname01",9904495,"2017-18",2018,2017,"Portland Trail Blazers",0.9,"47.9",5.6,"Power Forward and Center"
"330","Michael Beasley","2018",-0.6878642,"beaslmi01",1471382,"2017-18",2018,2017,"New York Knicks",1.3,"46.5",12.4,"Power Forward and Small Forward"
"331","Michael Carter-Williams","2018",-0.3013766,"cartemi01",2700000,"2017-18",2018,2017,"Charlotte Hornets",4.6,"40.1",10.9,"Point Guard"
"332","Michael Kidd-Gilchrist","2018",0.4785743,"kiddgmi01",1.3e+07,"2017-18",2018,2017,"Charlotte Hornets",1.2,"47.7",8.8,"Small Forward and Power Forward"
"333","Mike Conley","2018",2.416815,"conlemi01",28530608,"2017-18",2018,2017,"Memphis Grizzlies",5.7,"44.1",14.9,"Point Guard"
"334","Mike Muscala","2018",0.0602083,"muscami01",5e+06,"2017-18",2018,2017,"Atlanta Hawks",0.9,"46.8",5.7,"Power Forward and Center"
"335","Mike Scott","2018",-0.3615033,"scottmi01",1471382,"2017-18",2018,2017,"Washington Wizards",0.9,"46.4",7.1,"Power Forward"
"336","Miles Plumlee","2018",1.275791,"plumlmi01",12500000,"2017-18",2018,2017,"Atlanta Hawks",0.5,"54.2",4.9,"Center"
"337","Milos Teodosic","2018",-1.948457,"teodomi01",6e+06,"2017-18",2018,2017,"Los Angeles Clippers",4,"42.0",8,"Point Guard"
"338","Mindaugas Kuzminskas","2018",-2.493646,"kuzmimi01",3025035,"2017-18",2018,2017,"New York Knicks",1,"42.6",6.2,"Small Forward"
"339","Mirza Teletovic","2018",-0.0136337,"teletmi01",10500000,"2017-18",2018,2017,"Milwaukee Bucks",0.8,"40.6",8.1,"Small Forward and Power Forward"
"340","Montrezl Harrell","2018",0.8819256,"harremo01",1471382,"2017-18",2018,2017,"Los Angeles Clippers",1.2,"62.9",11.2,"Power Forward and Center"
"341","Myles Turner","2018",0.9450559,"turnemy01",2569920,"2017-18",2018,2017,"Indiana Pacers",1.2,"49.5",12.9,"Center"
"342","Nemanja Bjelica","2018",0.9088361,"bjeline01",3949999,"2017-18",2018,2017,"Minnesota Timberwolves",1.5,"46.0",7.1,"Power Forward"
"343","Nene","2018",1.873647,"hilarne01",3477600,"2017-18",2018,2017,"Houston Rockets",1.8,"54.8",11.3,"Power Forward and Center"
"344","Nerlens Noel","2018",0.1241443,"noelne01",4187599,"2017-18",2018,2017,"Dallas Mavericks",1.2,"52.3",8.2,"Power Forward and Center"
